English word,French word,Frequency
dream,rêver,62
reign,règne,29
entertain,divertir,35
follow,suivre,233
dreams,rêves,27
sometime,parfois,73
fairy,Fée,43
afraid,peur,25
lands,terres,30
apparel,vêtements,47
banish,bannir,35
known,connu,137
think,pense,862
conduct,conduite,42
present,présent,203
passion,la passion,67
jealous,jaloux,39
flies,mouches,35
always,toujours,59
kneel,s'agenouiller,40
certain,certain,121
dying,en train de mourir,30
times,fois,158
forbear,ancêtre,27
elder,aîné,28
burning,brûlant,37
noise,bruit,72
spend,dépenser,60
hostess,hôtesse,21
weeds,mauvaises herbes,26
public,Publique,55
command,commander,98
house,maison,273
almost,presque,156
counterfeit,contrefaire,28
several,nombreuses,79
orlando,orlando,14
flatter,flatter,32
pride,fierté,58
bring,apporter,435
heads,têtes,60
appears,apparaît,40
pistol,pistolet,24
thief,voleur,26
happy,heureux,211
bodies,corps,30
sentence,phrase,27
nought,néant,45
affection,affection,40
loose,ample,33
fools,imbéciles,63
burden,fardeau,27
letter,lettre,116
whose,dont,612
flood,inonder,23
jewel,bijou,36
leontes,leontes,12
place,endroit,233
shine,éclat,28
viola,alto,8
prohibited,interdit,221
remain,rester,45
point,point,92
presence,présence,67
degree,diplôme,23
chain,chaîne,31
seven,Sept,62
poins,poins,12
taught,enseigné,46
patient,patient,36
drawn,tiré,59
profit,profit,27
tarry,goudronneux,24
padua,Padoue,11
giving,donnant,41
chief,chef,105
sword,épée,170
power,Puissance,209
majesty,majesté,103
yours,le tiens,79
creature,créature,35
whether,qu'il s'agisse,95
story,récit,41
innocent,innocent,41
merit,mérite,32
assure,assurer,49
drunk,ivre,39
displeasure,mécontentement,23
beauty,beauté,139
means,veux dire,200
bottom,bas,33
syracuse,Syracuse,22
while,tandis que,192
heaven,paradis,356
feeble,faible,19
device,dispositif,17
skill,compétence,25
pains,des douleurs,45
yield,rendement,113
bounty,prime,22
philip,Philippe,9
battle,bataille,68
breath,souffle,116
curse,malédiction,70
hector,Hector,67
short,court,64
course,cours,100
business,entreprise,73
turns,se tourne,49
hanging,pendaison,27
falls,des chutes,47
gentle,doux,336
witness,témoin,93
intend,avoir l'intention,43
watch,regarder,77
senate,sénat,28
lovers,les amoureux,38
besides,outre,39
another,un autre,330
credit,crédit,30
being,étant,640
authority,autorité,30
thunder,tonnerre,31
civil,civil,43
health,santé,52
horse,cheval,105
sooner,plus tôt,51
charge,charge,131
goodness,la bonté,36
after,après,346
exeter,Exeter,18
pandarus,Pandarus,15
possible,possible,27
murther,aller plus loin,21
touch,toucher,94
freely,librement,36
thought,pensée,285
sickness,maladie,34
modest,modeste,31
chair,chaise,16
doubt,doute,117
perhaps,peut-être,33
uncle,oncle,89
truly,vraiment,81
affairs,affaires,39
brain,cerveau,43
scarce,rare,69
margaret,margaret,41
flowers,fleurs,24
gallant,galant,47
misery,misère,16
precious,précieux,69
something,quelque chose,155
dishonour,déshonorer,33
trust,confiance,142
proud,fier,159
train,train,46
picture,image,58
faith,Foi,75
traitor,traitre,53
repent,se repentir,39
sound,du son,130
lawful,légitime,50
flourish,fleurir,35
marcus,Marcus,30
doors,des portes,35
solemn,solennel,39
forward,vers l'avant,42
counsel,Conseil,85
challenge,défi,35
faces,visages,22
these,celles-ci,1252
learned,appris,44
smile,sourire,50
occasion,occasion,55
remedy,remède,12
beaten,battu,34
holds,tient,77
although,bien que,684
which,lequel,2154
content,contenu,85
fresh,Frais,78
small,petit,84
wounded,blessés,28
lordship,seigneurie,63
anger,colère,53
maria,maria,23
brief,bref,39
prince,prince,332
plead,plaider,41
capitol,Capitole,8
death,décès,357
promise,promettre,70
blows,coups,40
large,grand,56
light,lumière,145
abuse,abuser de,25
farther,plus loin,149
makes,fait du,344
throne,trône,22
depart,partir,36
strong,fort,136
fellow,compagnon,136
country,pays,80
night,nuit,274
loving,aimant,106
college,Université,224
green,vert,55
toward,vers,92
learn,apprendre,72
please,S'il vous plaît,339
avoid,éviter,25
heels,talons,30
entreat,supplier,99
longer,plus long,79
action,action,69
music,la musique,96
companion,un compagnon,19
cupid,Cupidon,26
never,jamais,959
trouble,difficulté,60
athens,Athènes,36
messenger,Messager,98
store,boutique,24
making,fabrication,71
silver,argent,141
pretty,jolie,101
labour,la main d'oeuvre,48
deliver,livrer,88
execution,exécution,25
forget,oublier,77
desert,désert,24
struck,frappé,64
witch,sorcière,21
blood,du sang,344
shadow,ombre,48
readable,lisible,223
earth,Terre,139
thrive,prospérer,30
encounter,rencontre,85
according,selon,44
citizen,citoyenne,8
deeds,actes,71
golden,d'or,90
already,déjà,69
service,un service,332
leisure,loisir,35
person,la personne,76
haste,hâte,80
church,église,22
again,encore,638
table,table,29
rotten,pourri,33
wretch,misérable,22
state,Etat,166
peril,péril,24
disposition,disposition,23
speak,parler,803
sworn,juré,142
machine,machine,223
kingdom,Royaume,44
swear,jurer,197
fancy,fantaisie,22
abroad,à l'étranger,20
child,enfant,105
other,autre,555
constant,constant,37
liberty,liberté,23
conscience,conscience,62
weapons,armes,20
ground,sol,64
durst,durst,49
common,commun,137
rather,plutôt,272
between,entre,229
beast,la bête,36
carry,porter,96
gates,portes,56
treasure,Trésor,33
unknown,inconnue,26
teeth,les dents,29
terms,termes,45
offer,offre,68
knock,frappe,50
pleasure,plaisir,85
slander,calomnie,31
proclaim,proclamer,37
rough,rugueux,52
noble,noble,574
malice,malice,49
neither,ni,118
serve,servir,157
living,vivant,121
dinner,dîner,24
defend,défendre,61
scorn,mépris,92
clarence,clarté,43
whence,d'où,71
grave,la tombe,82
grant,subvention,91
naked,nu,39
maintain,maintenir,35
number,nombre,36
under,sous,286
behind,derrière,78
chance,chance,70
clear,clair,44
valour,valeur,50
sister,sœur,77
commit,commettre,34
cousin,cousin,109
familiar,familier,29
young,Jeune,404
bitter,amer,65
speech,discours,93
cloten,cailloter,13
wonder,merveille,76
bedford,Bedford,6
comfort,confort,115
stars,étoiles,38
paris,Paris,48
valentine,Valentin,29
leave,laisser,522
desire,le désir,171
might,pourrait,1061
danger,danger,90
undone,défait,23
morning,Matin,69
season,saison,21
dearest,très cher,51
dearly,chèrement,20
dreadful,horrible,57
ignorant,ignorant,39
flesh,la chair,86
bless,bénir,103
study,étude,41
title,Titre,64
blush,rougir,32
borne,supporté,63
minister,ministre,27
success,Succès,21
habit,habitude,25
intent,intention,26
found,a trouvé,185
custom,Douane,24
sweet,sucré,707
mariana,Mariana,7
wrought,forgé,35
below,au dessous de,31
miranda,Miranda,3
merry,joyeux,103
happiness,bonheur,33
about,sur,350
knowledge,connaissance,128
valiant,vaillant,110
themselves,se,150
henceforth,désormais,38
farewell,adieu,41
plague,peste,82
hangs,bloque,35
attended,assisté,31
thomas,Thomas,57
ladyship,Madame,21
wherein,où,1345
abide,respecter,29
unhappy,malheureux,28
mighty,puissant,99
every,chaque,491
armour,armure,27
native,originaire de,42
knife,couteau,23
paulina,paulina,5
repair,réparation,36
strange,étrange,177
anything,n'importe quoi,68
therefore,Par conséquent,150
commercial,commercial,221
forest,forêt,52
painter,peintre,8
tower,la tour,28
remember,rappelles toi,137
policy,politique,26
order,ordre,67
nature,la nature,218
soldier,soldat,66
names,des noms,25
daughter,fille,193
stood,se tenait,82
delight,délice,35
parts,les pièces,74
buried,enterré,38
distributed,distribué,442
black,noir,122
father,père,404
birth,naissance,30
weary,se lasser,58
cheek,joue,38
percy,Percy,26
first,première,988
spare,de rechange,55
prove,prouver,222
mistress,maîtresse,257
fenton,Fenton,7
highness,altesse,96
talbot,talbot,50
wound,blessure,46
ourselves,nous-mêmes,72
queen,reine,466
world,monde,568
worth,vaut,162
eternal,éternel,34
fault,faute,89
until,jusqu'à,76
gross,brut,44
reputation,réputation,23
sleep,sommeil,130
consent,consentement,56
awhile,quelque temps,23
weeping,larmes,184
desperate,désespéré,41
offence,infraction,51
estate,biens,28
works,travaux,245
tonight,ce soir,20
glorious,glorieux,37
prologue,prologue,21
chaste,chaste,26
figure,figure,27
therefore,par conséquent,459
forces,les forces,35
commanded,commandé,29
grown,grandi,55
fight,bats toi,158
confess,avouer,90
claudio,Claudio,43
husband,mari,126
dramatis,dramatis,36
swift,rapide,118
choice,choix,36
former,ancien,123
includes,comprend,223
enemies,ennemis,35
finds,trouve,37
protector,protecteur,22
brook,ruisseau,32
yourself,toi même,152
awake,éveillé,31
tells,raconte,41
brave,courageux,148
second,seconde,563
finger,doigt,40
having,ayant,144
receive,recevoir,87
tender,soumissionner,123
reason,raison,179
within,dans,283
sorry,Pardon,75
claim,prétendre,50
throat,gorge,24
strength,force,78
quiet,silencieux,51
bishop,évêque,39
honest,honnête,213
great,génial,828
simple,Facile,73
cominius,cominius,17
brains,cerveaux,22
close,proche,69
shows,montre,84
secret,secret,52
matter,matière,210
hollow,creux,41
general,général,139
cannot,ne peux pas,719
water,eau,83
deadly,mortel,126
venice,venise,24
above,au dessus,115
betray,trahir,36
suspect,suspect,33
opinion,opinion,45
embrace,embrasse,53
heard,entendu,298
quite,assez,224
truth,vérité,165
window,la fenêtre,21
argument,argument,38
worship,culte,58
speaks,parle,98
painted,peint,45
frame,Cadre,36
passage,passage,29
sirrah,sirrah,13
knight,Chevalier,41
blessing,bénédiction,27
spite,dépit,41
speed,la vitesse,73
pluck,cueillir,106
therein,la bride,47
sense,sens,104
senator,sénateur,3
satisfied,satisfait,13
coming,venir,82
catch,capture,57
looks,regards,142
needs,Besoins,141
memory,Mémoire,33
contrary,contraire,20
glass,verre,32
grieve,pleurer,37
devise,concevoir,37
withal,avec,36
quality,qualité,28
guess,devine,33
oaths,serments,36
counsel,conseil,29
indeed,En effet,147
devil,diable,129
drown,noyer,39
virtue,vertu,130
knows,sait,178
sacred,sacré,47
enobarbus,énobarbus,18
library,bibliothèque,7
because,car,182
bassianus,bassianus,17
aside,de côté,24
grief,douleur,116
quarrel,querelle,66
oberon,Oberon,8
oxford,Oxford,13
heart,cœur,528
office,Bureau,70
cunning,ruse,58
fortune,fortune,192
comes,vient,513
loves,aime,153
perfect,parfait,43
rogue,coquin,42
ladies,Dames,62
deserve,mériter,53
perceive,apercevoir,84
hands,mains,167
trial,procès,31
cares,se soucie,26
raise,élever,45
